,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Amps,Colour,Connection Type,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Position,Pressure,Pump Type,Range,Voltage (V),Warranty,Watts,Phase,Hazardous,Positive / Neutral / Universal,Twin / Single,Material,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Output,Feature 11,Feature 12,Feature 13,Feature 14
40,PC88060,Salamander CT twin head bathroom pump 1.8bar,Salamander,251.8,"A quiet and efficient solution to low water pressure, the 1.8 bar Salamander CT twin impeller bathroom pump boosts hot and cold supplies to showers, baths and toilets in a positive head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT incorporates Crossover technology for individual hot and cold outlet operation.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT twin head bathroom pump 1.8bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/60/NW-C88060_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CT_BathroomPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P168712,Grundfos TPED 40-300/2-A-F-A-BQQE single-stage close-coupled volute twin-head pump 3 x 400V 50Hz,Grundfos,9572.26,"Ideal for heating, cooling and district energy, the Grundfos TPE single stage, close-coupled, volute pump offers inline suction and discharge ports of identical diameter and a combined temperature and differential pressure sensor. Thanks to a top-pull-out design, the power head (motor, pump head and impeller) can be removed while the pump housing remains in the pipework for easy, stress-free servicing and maintenance. The twin-head pump is designed with two parallel power heads, each with a fan-cooled, permanent-magnet synchronous motor and a frequency converter and PI controller in the motor terminal box for continuously variable control of speed.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos TPED 40-300/2-A-F-A-BQQE single-stage close-coupled volute twin-head pump 3 x 400V 50Hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/12/NW-168712_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_TPE_TPED_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_TPE_TPED_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Grundfos_TP_TPD_TPE_TPE3_3D_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PC88070,Salamander RP twin positive head centrifugal shower and bathroom pump 1.5bar,Salamander,275.1,"Offering quiet efficiency, the 1.5 bar Salamander RP premium twin ended pump boosts the hot and cold water supply to showers, baths, basins and toilets in a positive head, gravity fed installation. Suitable for a wide range of shower types and heads and single mixer taps, this pump incorporates Crossover technology for individual outlet operation.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander RP twin positive head centrifugal shower and bathroom pump 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/NW-C88070_C88071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RP_ShowerPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PD52496,Stuart Turner Monsoon universal twin shower pump 1.5 bar,Stuart Turner,768.9,"Designed for vented systems, the 1.5 bar Stuart Turner Monsoon fully automatic universal twin pump boosts both hot and cold water supplies in balance and is suitable for both positive and negative head applications. The Monsoon Universal doesn't require a gravity flow of water to start, so it's ideal for pressurising a supply where outlets are higher than the water source, such as in a loft conversion or where it's not clear if a positive flow of water exists.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Monsoon universal twin shower pump 1.5 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/96/NW-D52495_D52496_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Uni_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Uni_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_UniTwinPump_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_UniTwinPump_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PC88062,Salamander CT universal twin head bathroom pump 1.8bar,Salamander,519.05,"A quiet and efficient solution to low water pressure, the 1.8 bar Salamander CT twin regenerative universal bathroom pump boosts hot and cold supplies to bathrooms, utility rooms and en suites in a positive or negative head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT incorporates Crossover technology for individual hot and cold outlet operation.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT universal twin head bathroom pump 1.8bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/63/NW-C88062_C88063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CT_BathroomPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PD12063,Grundfos STR2 twin impeller positive regen shower pump,Grundfos,456.0,"The innovative, tough Grundfos STR2 regenerative shower pump with positive head and two impellers combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the STR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STR2 twin impeller positive regen shower pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/63/NW-D12063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PD52372,Stuart Turner Monsoon universal single shower pump 4.5bar,Stuart Turner,577.81,"Helping to boost both hot and cold supplies in a vented system when used in a pair, the Stuart Turner Monsoon universal single shower pump is also suitable for installation alone in order to boost a water supply where needed the most. This fully automatic peripheral shower pump boosts flow rates to up to a powerful 26LPM with no need for gravity flow to get started. The Monsoon can be used in either positive or negative head applications.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Monsoon universal single shower pump 4.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/72/NW-D52372_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/ST_Monsoon_Universal_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/ST_Monsoon_Universal_Single_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ST_Monsoon_Pump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/ST_Monsoon_Universal_Single_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PC88063,Salamander CT universal twin head bathroom pump 2.6bar,Salamander,576.34,"A quiet and efficient solution to low water pressure, the 2.6 bar Salamander CT twin regenerative universal bathroom pump boosts hot and cold supplies to bathrooms, utility rooms and en suites in a positive or negative head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT incorporates Crossover technology for individual hot and cold outlet operation.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT universal twin head bathroom pump 2.6bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/63/NW-C88062_C88063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CT_BathroomPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PD01236,ACCUBOOST 450LT PUMPED ACCUMULATOR SET,Salamander,2210.97,"Suitable for use in domestic and light commercial premises and offering compatibility with combi boilers, the Salamander 450L AccuBoost pumped accumulator tank and upstream kit helps to improve mains water performance by a minimum of 12LPM in unvented systems with limited water pressure or flow, or in systems where both flow and pressure are a problem at the same time. Storing water at pressure for better than ever delivery from every outlet, Accuboost is available in a variety of tank sizes with both pumped and unpumped options.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> ACCUBOOST 450LT PUMPED ACCUMULATOR SET,,Pumped accumulator tank ;upstream kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/36/NW-D01236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Salamander_AccuBoost_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_Mains_Booster_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PD12066,Grundfos STR2 twin impeller negative regen shower pump,Grundfos,952.0,"The innovative, tough Grundfos STR2 regenerative shower pump with universal head and two impellers combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the STR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STR2 twin impeller negative regen shower pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/66/NW-D12065_D12066_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
