,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection,Connection Size,Hazardous,Thread Standard,Max Set Pressure,Material,Thread Size,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection Type,Grade,Range,Pack Quantity,Colour,Weight,Size,Thickness,Attachment 3
56,P598007,Surestop remote extension kit 2mtr,Surestop,16.18,A Surestop 2M white plastic extension tubing kit.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Surestop remote extension kit 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/07/NW-598007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Surestop_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PN13402,WINN TYPE B AUTOMATIC AIR ELIMINATOR  15,Brownall Winn,237.71,"The Brownall Winn Type B automatic air eliminator with lockshield isolating valve removes the risk of trapped air in a system, which can lead to reduced heating power and cause damage to an entire installation, especially the pump. Trapped air also creates noise and corrosion and lead to premature failure of a system. Suitable for use with a range of media, this air eliminator is made of bronze and includes 1/2 x G3/8"" female x male connections.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> WINN TYPE B AUTOMATIC AIR ELIMINATOR  15",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/02/NW-N13402_wm.jpg,,,,,N,,,Bronze,,,AE-B,Automatic Air Eliminator,N,,Large float construction for maximum re-seating force,Risk of leakage and seals at a minimum of 0.15 bar is reduced,With isolating valve to easily isolate the AAE for quick in-situ servicing,"Shell components are resistant to stress, corrosion, cracking and fungal growth",Robust construction,Reliable operation for industrial environments,Resilient PTFE seat/Monel needle design maintains shape and form for a leak-tight seat,"Suitable for use with water, glycol, aviation fuel, diesel and light oils",,,,,,,,Bronze,,1/2 x G3/8,,
58,PC51840,Midland Brass washing machine hose 2.5mtr Red,Midland Brass,8.64,This Midland Brass 2.5M long red washing machine hose includes a threaded connection.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Midland Brass washing machine hose 2.5mtr Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/40/NW-C51840_wm.jpg,,,,,N,,,,,,BFWMHR-2.5M,Hose,N,,Satin finish,WRAS approved,12 month warranty,,,,,,,,,Threaded,CW617N,,,,,,,
59,P327134,Tesla Isogas isolating valve EN331 22mm,Tesla,5.22,"Suitable for gas installations, this manually operated Tesla Isogas EN331 22mm isolating valve is manufactured in robust brass with simple compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Tesla Isogas isolating valve EN331 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/34/327134_wm.jpg,,,Compression,22 mm,N,Compression,,Brass,22 mm,60,GC2202,Ball Valve,N,Gas,Brass construction,For gas applications,Compression connections,EN 331 tested,,,,,,,,,,Isogas,,,,,,
60,P208609,Myson Matchmate MATE15LAC lockshield angle 15mm Chrome (10),Myson,9.04,"Ideal for use in domestic systems, the Myson Matchmate 15mm lockshield angled radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and compression connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE15LAC lockshield angle 15mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/09/208609_wm.jpg,,,Compression,15mm,N,BSP,,Brass,15mm,120 deg C,MATE15LAC,DVC Valves,N,Central Heating,With lockshield,Angled version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
61,P365356,Banico solenoid coil connector,Banico,2.06,"This Banico push-on rotational connector, manufactured in compliance with DIN 43650, is suitable for all coils.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Banico solenoid coil connector",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/56/NW-365356_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Banico_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,P412591,DVS KWC DVS thermostc mix valve 4in1 15/22mm and washers,DVS,112.1,"An advanced design with TMV3 approval, this DVS KWC 4-in-1 thermostatic mixing valve with 15/22mm compression connections is suitable for use for basin, shower, bidet and high pressure bath filling above 1 bar. Keeping users safe from scalding, the KWC valve maintains mixed water outlet temperatures to within +/- 2°C even when hot or cold water supply temperatures or pressures fluctuate. Should a complete failure of supply occur, this safety valve will shut the water flow off immediately.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> DVS KWC DVS thermostc mix valve 4in1 15/22mm and washers",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/91/NW-412591_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/DVS_Mixing_Valve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/DVS_Mixing_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PP25234,"Edwards Engineering Plinth PLC12 plinth standpipe Bib Tap 1.2"" Stainless Steel",Edwards Engineering,400.0,"Designed with brass bib tap, the Edwards Engineering PLC12 1/2"" plinth standpipe is made of stainless steel and DZR brass. This pipe provides a safe and secure supply of water.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Edwards Engineering Plinth PLC12 plinth standpipe Bib Tap 1.2"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/34/NW-P25234_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/P25234_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PK28036,CRANE DPAF961 BZE FLOW MOUNTED DPCV   15,Crane,224.82,"The highly efficient Crane 15mm flow-mounted differential pressure control valve is designed to safeguard against excess flow. This bronze-built valve therefore minimises energy consumption, makes commissioning easy and aids in reducing system noise.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> CRANE DPAF961 BZE FLOW MOUNTED DPCV   15",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/36/K28036_wm.jpg,,,,,N,,,,,,0EA08335M,Control Valve,N,,,,,,,,,,,,,,,,,,,,,
65,P327132,Tesla Isogas isolating valve EN331 10mm,Tesla,2.8,"Suitable for gas installations, this manually operated Tesla Isogas EN331 10mm isolating valve is manufactured in robust brass with simple compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Tesla Isogas isolating valve EN331 10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/32/327132_wm.jpg,,,Compression,10mm,N,Compression,,Brass,10 mm,60,GC102,Ball Valve,N,Gas,Brass construction,For gas applications,Compression connections,EN 331 tested,,,,,,,,,,Isogas,,,,,,
