,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Fuel Type,Range,Hazardous,Seasonal Space Heating Energy Efficiency %,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 6,Boiler Bundles,Flow Rate,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Feature 15,Feature 16,Feature 17,Feature 18,Max Vertical Level Flue Length (metres),Boiler Section,Boiler Range,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class,Max High Level Flue Length (metres),Preset Pressure Relief Valve (Bar),Dry Weight (kg),Feature 19,Feature 20,Attachment 7,Attachment 8
121,P124839,Ideal Vogue Max Combi C40 combi boiler 40kW,Ideal,1378.97,"The single piece composite Ideal Vogue Max Combi C40 is designed to look great in contemporary homes. Highly efficient, with ErP heating and water compliance plus an ErP A rating, this well-designed combi minimises maintenance and fuel bill costs with a range of great features. A lower lift weight and full text fault modes ensure that installation, servicing and repair of the Vogue Max is simple while a full colour LCD screen displaying both text and graphics makes consumer operation straightforward, putting the homeowner in control of their comfort. This 40kW combi also features a service timer and an excellent warranty package.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal Vogue Max Combi C40 combi boiler 40kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/39/124837_124839_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Max_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/124839_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Vogue_Max_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Vogue_Max_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Max_Combi_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,P333728,Alpha E-Tec Plus 28 combi boiler and horizontal flue,Alpha,828.0,"Extremely compact for an effortless cupboard fit, the Alpha E-Tec 28 provides reliable heating for small to medium sized homes alongside reliably quick hot water. With a highly efficient Grundfos pump and a robust stainless steel heat exchanger, this 28kW combi boiler can help to minimise waste and deliver on reduced bills without compromising on homeowner comfort. Supplied with a horizontal Easiflue and mounting jig for a straightforward installation job, the E-Tec promises fast, easy servicing, with complete front access to components and easy-reach NTCs. A clear and bright backlit LCD screen provides detailed feedback for both the user and the engineer for improved operation and troubleshooting.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Alpha E-Tec Plus 28 combi boiler and horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333728_29 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_E-Tec_Plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_E-Tec_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,P334448,Ideal Heating Max S24 system boiler pack with flue,Ideal Heating,1255.0,"An installer-friendly unit, the Ideal Logic Max S24 system boiler, supplied with a compatible flue and filter, has a back-saving low lift weight and offers easy installation, making frustrating fitting jobs a thing of the past. Simple to operate using its large size digital display, the robustly built 24kW Logic Max is as popular with users as it is with engineers and, thanks to the included system filter, both will appreciate its long lasting hassle-free reliability.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal Heating Max S24 system boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/49/NW-334448_334449_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Logic_Max_System_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Max_System_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Ideal_Logic_Max_System_S24_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Max_System_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Standard_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,P333962,Worcester Bosch Greenstar 8000 Style GR8700iW 45 C NG combi boiler pack 45kW White,Worcester Bosch,2059.0,"The Worcester Bosch Greenstar 8000 Style GR8700iW 45 C NG combi boiler offers improved installation times, simpler servicing and commissioning, quieter operation and a chassis designed to look the part in a slick, contemporary home. The Worcester Bosch design team has incorporated years of installer and customer feedback into the 45kW 8000 Style, which boasts a full colour touchscreen display for effortless daily control and improved diagnostics. Fully compatible with the Greenstar Intelligent Filling System for optimum boiler pressure, this thoroughly modern combi has an ErP A rating for lower fuel bills and low emissions.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 45 C NG combi boiler pack 45kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Style_White_wm.jpg,,,,,,,Natural Gas,Greenstar 8000 Style,N,,333962 PK,Condensing Combi Boiler,N,"Combustion chamber for quieter operation than its predecessor, the Greenstar CDi Classic","Compatible with Greenstar Intelligent Filling System, employing the latest innovative software maintains optimum boiler pressure",Design-led product aesthetics for contemporary homes,Improved installation and servicing,Innovative all-colour text touchscreen boiler control with intuitive menu,"Display offers at-a-glance diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Easy commissioning with information for the Benchmark Checklist at your fingertips,Simple switch from CDi classic with same fixing points and connections,8 year guarantee,,,,,,,333962,15 L/min @ 40°C,8 years,49kg,A,A,,365,94,Wall Hung,,,,,,,,,,,,,,,,
125,P333918,Grant Vortex Pro External Combi 21 oil boiler 21kW,Grant,2677.0,"Designed to meet low-NOx regulations, the Grant Vortex Pro External Combi 21 external boiler is part of an award-winning range featuring Riello low-NOx technology. Incorporating Grant's patented heat exchangers with their large surface areas and low water content, this 21kW boiler has an ErP A rating for heating and B rating for hot water, improving efficiency in the home. Standing up to all weathers, the Vortex Pro External has a robust powder-coated casing and built-in frost protection for year-round reliability, even in challenging weather conditions.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Grant Vortex Pro External Combi 21 oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Pro_External_wm.jpg,,,,,,White/Gloss,Oil,Vortex Pro External Combi,N,90.81,333918 PK,External Combi Boiler Pack,N,"High quality, external powder-coated casing","Factory-fitted multi-directional flue for faster, flexible installation",Patented Grant larger size heat exchanger for improved performance,Riello low-NOx burner,2 very accurate electronic temperature controls allow boiler to operate in condensing mode on central heating while producing instant hot water,Low system pressure cut off switch protects boiler in the unlikely event of system water loss,24L expansion vessel,Neon diagnostic indicators,Built-in frost protection,89.5 to 91.6% gross SAP2009 annual efficiency,"DHW flow rate 30LPM at 10°C, 15LPM at 20°C",2 year warranty,,,,,"30 L/min @ 10°C, 15 L/min @ 20°C",2 Year,181 kg,A,B,21 kW,754,90.81,Floor Standing,,,,,,,,,,,,,,,,
126,P114635,Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB NG combi boiler 35kW Black,Worcester Bosch,1684.0,"The Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB NG combi boiler offers faster, easy installation, servicing and commissioning, simple to use controls, quiet operation and contemporary design-led looks well-suited to modern decor. The team at Worcester Bosch has harnessed years of installer and customer feedback in designing the 8000 Style's full colour touchscreen display, making using the 35kW boiler effortless, giving you high levels of comfort and efficiency at the touch of a button. Compatible with the innovative Greenstar Intelligent Filling System for optimised boiler pressure, the 8000 Style has an ErP A rating for lower fuel bills and low emissions.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB NG combi boiler 35kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/36/114632_114636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/114635_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_8000_Style_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114635_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_8000_Style_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/W_B_Greenstar_8000_LifeStyle_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,P333729,Alpha E-Tec Plus 33 combi boiler and horizontal flue,Alpha,905.0,"Significantly improving installation times, the Alpha E-Tec 33 combi boiler is supplied with the Alpha Easiflue ceramic disc plume and mounting jig. With inner and outer ducts that simply extend to the required length, the Easiflue can save up to an hour of a fitting engineer's time, usually spent on measuring and cutting, while the E-Tec's easy to access dry-change NTCs, corrosion-resistant, zinc-plated expansion vessel and reliable Grundfos pump and hydroblock assembly reduce the need for lengthy servicing and maintenance work. Highly efficient, this reliable 33kW combi boiler has an ErP A rating for reduced waste and the potential for lower fuel bills.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Alpha E-Tec Plus 33 combi boiler and horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/9_/pk/333728_29 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_E-Tec_Plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_E-Tec_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,P111984,Worcester 2000 25 kW boiler with Honeywell Home T3 theromstat pack,Worcester,794.99,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 2000 25 kW boiler with Honeywell Home T3 theromstat pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/84/111984_wm.jpg,,,,,,,,,N,,111984 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,P333964,Worcester Bosch Greenstar 8000 Style GR8700iW 35 C NG combi boiler pack 35kW White,Worcester Bosch,1544.0,"Built with the feedback of both installers and homeowners in mind, the Worcester Bosch Greenstar 8000 Style GR8700iW 35 C NG combi boiler is designed for quick, hassle-free installation, servicing and maintenance with intuitive controls and quieter operation compared to its predecessor, the 8000 Life. With its sleek, contemporary look ideal for a modern home, this 35kW combi incorporates a full colour touchscreen display making controlling comfort simple and improving fault diagnostics and commissioning as well. Compatible with the Greenstar Intelligent Filling System for optimised boiler pressure, the 8000 Style boasts an ErP A rating, helping to lower fuel bills and reduce your carbon footprint.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 35 C NG combi boiler pack 35kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Style_White_wm.jpg,,,,,,,Natural Gas,Greenstar 8000 Style,N,,333964 PK,Condensing Combi Boiler,N,"Combustion chamber for quieter operation than its predecessor, the Greenstar CDi Classic","Compatible with Greenstar Intelligent Filling System, employing the latest innovative software maintains optimum boiler pressure",Design-led product aesthetics for contemporary homes,Improved installation and servicing,Innovative all-colour text touchscreen boiler control with intuitive menu,"Display offers at-a-glance diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Easy commissioning with information for the Benchmark Checklist at your fingertips,Simple switch from CDi classic with same fixing points and connections,8 year guarantee,,,,,,,333964,13 L/min @ 40°C,8 years,47 kg,A,A,,365,94,Wall Hung,,,,,,,,,,,,,,,,
130,P334465,Vaillant ecoTEC Plus 45 heat only boiler pack with flue,Vaillant,1770.0,"Supplied with a choice of flue to suit your installation, the Vaillant ecoTEC plus 435 high efficiency heat only boiler is an ideal solution in homes where low water pressure problems mean that an open vent system with hot water storage is the only choice. Lightweight and with a compact footprint, this 35kW output unit can be installed easily into a kitchen cupboard for faster fitting while high quality components minimise the risk of costly and inconvenient breakdowns. ErP A-rated, the ecoTec plus offers compatibility with both solar panels and smart controls, helping to create a more eco-friendly heating system.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Vaillant ecoTEC Plus 45 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/pk/334465 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,P333893,Grant Vortex Eco Utility 21/26 floor standing heat only oil boiler,Grant,1533.0,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 21/26 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Grant Vortex Eco Utility 21/26 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/as/e)/Grant Vortex Eco Utility Boiler (Case)_wm.jpg,,,,,,Red,Oil,Vortex Eco Utility,N,91.7,333893 PK,Heat Only Boiler,N,Suitable for use in open-vented or sealed central heating systems,"Simplified casing, control panel and pipework",Exceptionally quiet operation,Optional side or rear flue exits,Front service access,Fitted with a Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Compliant with September 2018 low-NOx legislation,5 year warranty available when following Grant installation specification and guidelines,,,,,,,333893,,5 Years,97kg,A,,26 kW,601,91.67,Floor Standing,,,,,,,,,,,,,,,,
132,P333892,Grant Vortex Eco Utility 15/21 floor standing heat only oil boiler,Grant,1416.0,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 15/21 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Grant Vortex Eco Utility 15/21 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/as/e)/Grant Vortex Eco Utility Boiler (Case)_wm.jpg,,,,,,White/Gloss,Oil,Vortex Eco Utility,N,92.7,333892 PK,Heat Only Boiler,N,Suitable for use in open-vented or sealed central heating systems,"Simplified casing, control panel and pipework",Exceptionally quiet operation,Optional side or rear flue exits,Front service access,Fitted with a Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Compliant with September 2018 low-NOx legislation,5 year warranty available when following Grant installation specification and guidelines,,,,,,,333892,,5 Years,97kg,A,,21 kW,601,92.68,Floor Standing,,,,,,,,,,,,,,,,
133,P333949,Glow-worm Energy 30C combi boiler and flue,Glow-worm,994.0,"With its compact design, the Glow-worm Energy Combi 30C with flue has a compact cupboard fit, flexible flueing options and quiet operation, providing installers with impressive flexibility of siting. Fitted with internal components of a very high quality, this ErP A-rated combi reduces the need for costly maintenance while also helping to bring down fuel bills through its high levels of efficiency. Operated using an intuitive LCD interface, the Energy Combi is compatible with a range of external controls to help give homeowners even more choice.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Glow-worm Energy 30C combi boiler and flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/pk/333948_50 PK_wm.jpg,,,,,,White/Gloss,Natural Gas,Energy,N,A,333949 PK,Combi Boiler and Horizontal Flue Pack,N,Sales pack includes boiler and flue,"Built at Glow-worm's award winning Belper, UK factory",Compact size for cupboard installation,Rear flue option,Highly efficient modulating Grundfos pump,Quiet and robust aluminium heat exchanger,High efficiency for lower running costs,Quiet Mark approved,"Modern LCD offers excellent clarity, even in dimly light rooms","DHW flow rate 14.2LPM at 30 K, 12.2LPM at 35 K",Compatible with Glow-worm's entire range of intelligent controls,7 year warranty,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,
134,P333724,Intergas HRE 36/30 combi boiler and horizontal flue,Intergas,1138.0,"Reliably supplying both heating and hot water with no need for additional water storage, the Intergas HRE 36/30 combi boiler with horizontal flue has a compact design and reduced number of components meaning less chance of breakdown and lower maintenance costs. This practical combi is fitted with a highly efficient double heat exchanger as well as a self-learning eco mode, contributing to its excellent ErP A rating for reduced fuel bills and a reduced carbon footprint.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Intergas HRE 36/30 combi boiler and horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/333724 PK_wm.jpg,,,,,,White/Gloss,Natural Gas,HRE,N,A,333724 PK,Compact Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,Easy to service and maintain,2 fixing options,Fewer parts for improved reliability,No diverter valve or valve motor,No auto air vent,Double high efficiency heat exchanger,No hot water storage cylinder required,Self-learning eco mode,"DHW flow rate 15LPM at 40°C, 9LPM at 60°C",10 year warranty on heat exchanger,7 year warranty available when following Intergas installation specification and guidelines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,P124842,Ideal Vogue Max 26 system boiler 26kW,Ideal,1348.86,"The installer-friendly Ideal Vogue Max 26 condensing system boiler is built in a single piece with a lower than average lift weight for a less stressful fitting job. Attractively designed, with a modern composite casing and concealed controls, this 26kW room-sealed boiler looks great in any space and is easy to use too thanks to a large backlit LCD display. Highly efficient, the Vogue Max is fitted with high quality components for reduced maintenance and a bill-busting ErP A rating.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal Vogue Max 26 system boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/43/124840_124843_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Consumer_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Max_System_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Logic_Max_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/124842_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Vogue_Max_System_Spec_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Vogue_Max_System_Product_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
136,P333207,Glow-worm Compact 28C-AS/1 (P-GB) LPG combi boiler with flue 28kW,Glow-worm,729.0,"With a smaller overall size and lighter weight than most, the Glow-worm Compact 28C-AS/1 (P-GB) combi boiler pack with flue makes the engineer's life easy while saving the user on costs and inconvenience via fast, stress-free installation. Robust and reliable, this wall-mounted 28kW combi incorporates a modern stainless steel heat exchanger for durability and ErP A-rated efficiency.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Glow-worm Compact 28C-AS/1 (P-GB) LPG combi boiler with flue 28kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/7_/pk/333206_07 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Compact_24c_28c_O_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Compact_24c_28c_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,P334444,Ideal Heating Max H24 heat only boiler pack with flue,Ideal Heating,1192.0,"An installer-friendly unit, the ErP compliant Ideal Logic Max Heat H24 heat only boiler, supplied with a compatible flue and filter, has a back-saving low lift weight and offers easy installation, making frustrating fitting jobs a thing of the past. Simple to operate using its large size digital display, the robustly built 24kW Logic Max is as popular with users as it is with engineers and, thanks to the included system filter, both will appreciate its long lasting hassle-free reliability.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal Heating Max H24 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/45/NW-334444_334445_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Max_Heat_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Ideal_Logic_Max_Heat_Spec_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Ideal_Logic_Max_Heat_H24_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Logic_Max_Heat_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Standard_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,P107157,Wolseley Packs iMini 35kW v/flue and FOC Fernox FTR,Wolseley Packs,814.0,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Wolseley Packs iMini 35kW v/flue and FOC Fernox FTR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/57/107157_wm.jpg,,,,,,,,,N,,107157 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
