,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Thickness,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Range,Weight,Diameter,Feature 6,Feature 7
58,P637133,Lawton Tube EFSB 1 piece saddle clip 15mm Copper,Lawton Tube,0.68,"Made of copper with a brass finish, this Lawton Tube EFSB 15mm saddle bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube EFSB 1 piece saddle clip 15mm Copper",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/35/NW-637133_637135_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
59,P173022,Falcon Trunking APAC back plate and pipe clips 2 x 15mm,Falcon Trunking,0.52,"Supplied ready-assembled, these Falcon Trunking APAC1 back plates each feature two 15mm APAC pipe clips (HPC15). Simple and quick to install, the APAC system is suitable for use with copper or plastic pipe and can cover 15mm plastic pipe couplers and elbows.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Falcon Trunking APAC back plate and pipe clips 2 x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/22/NW-173022_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Falcon_Trunking_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Falcon_Trunking_Pipe_Management_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Falcon_Trunking_APAC_System_Tech.pdf,,,,,
60,P637080,Lawton Tube MUN single cast munsen ring M10 67mm Brass,Lawton Tube,14.14,"Made of copper with a brass finish, this Lawton Tube MUN 67mm munsen ring is designed for use as a tube support on ceilings and walls. Copper is a cost effective solution for a wide range of pipework applications.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN single cast munsen ring M10 67mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/82/NW-637074_637082_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
61,P637051,Lawton Tube MUN pressed screw on bracket 22mm Brass,Lawton Tube,3.38,"Made of brass, this Lawton Tube MUN 22mm pressed screw-on bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN pressed screw on bracket 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/54/NW-637050_637054_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
62,P697251,Inaba Denko SLIMDUCT ID-SC-75-K slim trunk elbow 75mm Black,Inaba Denko,10.66,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm 90° trunking elbow is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SC-75-K slim trunk elbow 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/51/NW-697251_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
63,PM98953,"M Greenaway And Son Malleable malleable screw on bracket 4"" Black",M Greenaway And Son,22.4,"This M Greenaway And Son 4"" screw-on bracket is manufactured from a malleable iron with a traditional black finish.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son Malleable malleable screw on bracket 4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/53/M98953_wm.jpg,Black,,N,Malleable iron steel,100 mm,0CA00425N,Screw On Bracket,N,Malleable iron steel construction,Black finish,,,,,,,Malleable,4.90842,,,
64,PCA9104,Plasson mechanical pushfit MCP unit 25mm x 15mm,Plasson,168.7,"A compact one-piece unit, the Plasson mechanical push-fit 25 x 15mm MCP unit provides mains isolation, a meter connection, a drain point and backflow prevention in a convenient single monobloc, making installation easier and quicker.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Plasson mechanical pushfit MCP unit 25mm x 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/04/CA9104_wm.jpg,Black,,N,"Copper, PB and PEX",,PM0351071025015,Meter Connection Point,N,Monobloc design for fast install,Quarter-turn high flow mains stop valve,With 1 1/2” Class D concentric meter connection,Approved double check valve built-in,With inbuilt drain point,,,,,,,NBR and EPDM sealing for watertightness,KIWA UK Regulation 4 (KUKreg4) approved
65,P637070,Lawton Tube MUN cast screw on bracket 15mm Chrome Plated,Lawton Tube,3.45,"Made of brass with a chrome finish, this Lawton Tube MUN 15mm cast screw-on bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN cast screw on bracket 15mm Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/71/NW-637070_637071_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
66,PCA9108,"Plasson MCP 35107 pushfit BSPP 3/4"" x 22mm",Plasson,189.94,"Suitable for connection to a Plasson multi-port manifold, the Plasson MCP 35107 25 x 22mm BSPP push-fit meter connection point is suitable for use in multi-occupancy premises. A compact single-piece unit, this connection point provides all-in-one mains isolation, meter connection, drain point and back flow prevention.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Plasson MCP 35107 pushfit BSPP 3/4"" x 22mm",,Complete MCP unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/63/597963_wm.jpg,Black / Blue / Gold,n/a,N,Polypropylene & Brass,3/4 x 22mm,PM0351071897022,Meter mount kit,N,Space saving monobloc design for quick and easy installation,drain point to isolate singular property,approved double check valve,NBR and EPDM sealing for water tight integrity,quarter turn high flow mains stop valve,,,,MCP,,,Kiwa UK Regulation 4 approved,"suitable for 1 1/2"" Class D concentric water meter."
67,PM92159,M Greenaway And Son GB galvanised 6 hole base plate,M Greenaway And Son,107.1,"Made of 6mm thick mild steel, this M Greenaway And Son delta plate bracket with galvanised finish has been designed to support and fix together Channel (strut) lengths in metal framework. The majority of Channel accessories and bracketry are pre-drilled with 14mm fixing holes, allowing the use of bolts and threaded rod for fixings.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son GB galvanised 6 hole base plate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/59/NW-M92159_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_GB4741_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Greenaway_Channel_Catalogue.pdf,,,,,,
68,PCA9107,Plasson MCP 35107 pushfit 25mm x 22mm,Plasson,174.95,"Designed for above ground use, the Plasson MCP 35107 25 x 22mm push-fit meter connection point is suitable for use as a single water meter connection for domestic premises. A compact single-piece unit, this connection point provides all-in-one mains isolation, meter connection, drain point and back flow prevention.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Plasson MCP 35107 pushfit 25mm x 22mm",,Complete MCP unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/62/597962_wm.jpg,Black / Blue / Gold,n/a,N,Polypropylene & Brass,25 x 22mm,PM0351071022022,Meter mount kit,N,Space saving monobloc design for quick and easy installation,drain point to isolate singular property,approved double check valve,NBR and EPDM sealing for water tight integrity,quarter turn high flow mains stop valve,,,,MCP,,,Kiwa UK Regulation 4 approved,"suitable for 1 1/2"" Class D concentric water meter."
