,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Warranty,Watts,Weight,Hazardous,Depth (mm),Dimensions (L x W x D),IP Rating,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Material Type,Material,Attachment 1,Attachment 2,Pack Quantity,Size,Attachment 3,Attachment 4,Colour,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Range,Style,Connection Type,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Pressure,BTU h,Height (mm),Width (mm),Diameter,Attachment 6
56,P172986,Manthorpe Radiator Pipe Guide and Seal radiator pipe guide seal 10mm,Manthorpe,7.14,"The Manthorpe GRS radiator pipe guide and seal for 10mm plastic pipe offers an impermeable barrier where radiator pipes meet a wall, reducing heat loss issues, which can result in higher bills and failure of the mandatory pressure test. The innovative design of this pipe guide and seal prevents gaps in plastic pipe installations, resisting kinks and twists to provide an inexpensive, easy-install and compliant solution to heat loss.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Manthorpe Radiator Pipe Guide and Seal radiator pipe guide seal 10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/86/NW-172986_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Manthorpe_GRS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Manthorpe_GRS_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,P247027,"Danfoss Aero Ra Click, built in sensor, max 21°C",Danfoss,34.22,"The Danfoss Aero RA Click BIS Max 21°C click lock built-in sensor comprises a highly efficient gas thermostat housed in a smart, modern unit. This sensor uses unique gas bellow technology for exceptional levels of performance and good energy efficiency.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss Aero Ra Click, built in sensor, max 21°C",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/27/247027_wm.jpg,5 Years,,,N,,,,015G4690,Commercial TRV's,N,For commercial use,With gas sensor,Includes frost protection,With temperature limitation,,Plastic,,,,,,,White,Modern style,Plastic construction,White finish,5 year warranty,,,,,Modern,Click Lock Sensor,No,N/A,N/A,N/A,N/A,Yes,Round,No,,,,,,
58,P247429,Drayton TRV4 TRV4 internal head vandal guard,Drayton,124.19,The Drayton TRV4 internal head vandal guard pack protects thermostatic radiator valves (TRVs).,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 TRV4 internal head vandal guard",,6x vandal guards,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/29/NW-247429_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_TRV4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_TRV4_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P511548,Talon Snappit bathroom pack 15mm Chrome,Talon,11.71,"Providing a neat, professional finish, the Talon Snappit 500mm towel rail tail kit, with pipe covers and chrome collars, conceals and protects unsightly pipework, providing a straightforward alternative to painting. Fitting to copper or plastic pipe with minimal effort, Snappit requires no messy adhesive.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Talon Snappit bathroom pack 15mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/48/NW-511548_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Snappit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,P651247,Arctic Hayes radiator drain down kit,Arctic Hayes,16.83,"This Arctic Hayes radiator draining kit makes draining down a heating system a mess-free job for professionals and DIYers alike. A universal kit for 8 - 22mm pipe bores, this handy set helps you to avoid damage to floors and carpets.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Arctic Hayes radiator drain down kit",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/47/651247_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ArcticProducts_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Arctic_Hayes_RadDrainingTray_Install.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Arctic_Hayes_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Arctic_RadDrainingTray_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
61,P247412,"Drayton TRV4 angled TRV and remote head 2m 1/2""",Drayton,59.56,"This Drayton TRV4 angled thermostatic radiator valve (TRV) is supplied with lockshield and push-fit pack for a straightforward installation job and a 2M remote sensor designed for accurate temperature readings where a radiator is behind furniture. Slimline and modern, the TRV4 incorporates a double gland seal and non-stick, pre-set internals, a useful feature designed to allow for balancing the radiator through the TRV.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 angled TRV and remote head 2m 1/2""",,Thermostatic radiator valve;Lockshield;Pushfit pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/12/247412_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_TRV4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_TRV4_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Drayton_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_D34_11_TRV_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
62,P247018,Danfoss Aveo™ Tamperproof built in sensor,Danfoss,47.92,"Manufactured in Denmark, the Danfoss Aveo tamperproof built-in sensor thermostat is ideal for temperature control in public buildings such as hospitals or schools, and in commercial or industrial settings. Installed onto a radiator valve, the Aveo valve uses unique gas-filled technology for the fastest possible self-acting reliability, working with the thermostat for individual control of the temperature inside a room. Suitable for all types of water-based heating systems, the tamperproof Aveo thermostat and valve works by simply adjusting the flow of hot water through a radiator to meet a given setpoint.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss Aveo™ Tamperproof built in sensor",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/18/247018_wm.jpg,,,,N,,,,015G4040,Aveo RA built-in thermostatic sensor,N,"Gas technology for fast, precise temperature control",Highest-class control accuracy (CA 0.2K) per amended EN215,"Robust design for industrial, commercial and public applications",Facilities for limiting and locking temperature set-point,,Metal and Plastic,,,,,,,White,With frost protection setting,Metal and plastic construction,,,,,,,,,,,,,,,,,,,,,,
63,P511546,Talon Snappit 15mm sleeving kit 200mm Chrome,Talon,16.46,"Providing a neat, professional finish, the Talon Snappit 200mm chrome pipe cover conceals and protects a range of 15mm pipe installations. Fitting to copper or plastic pipe with minimal effort, Snappit requires no messy adhesive.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Talon Snappit 15mm sleeving kit 200mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/47/NW-511546_511547_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Snappit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,P246177,Danfoss RA remote adjuster 8mtr,Danfoss,136.71,This Danfoss RA remote temperature adjuster for 8M tube offers frost protection as well as limiting and locking of a temperature set-point.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RA remote adjuster 8mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/77/NW-246175_246177_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_Remote_T_Adjuster_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_2000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
65,P248010,Pegler Yorkshire B1301-0/3 liquid head,Pegler,27.74,"Made of a tough brass, this Pegler Yorkshire Terrier Belmont III B1301-0/3 straight liquid head is designed for use in commercial radiator valves.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Pegler Yorkshire B1301-0/3 liquid head",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/10/NW-248010_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Belmont_ThrmstRadValves_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Pegler_Yorkshire_BSI_Kitemark_2017.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belmont_CommercialRadVlve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
66,P247038,Danfoss RA-FR reducer 10mm,Danfoss,4.07,This replacement Danfoss brass olive is for use on RA-FS valves and RLV-D lockshield valves.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RA-FR reducer 10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/38/247038_wm.jpg,,,,N,,,,013G0254,Reducer,N,10mm size,"For 1/2"" valves",Brass construction,,,Brass,,,,,,,Brass,,,,,,,,,,,,,,,,,,,,,,,,
67,P511547,Talon Snappit 15mm sleeving kit 1mtr Chrome,Talon,23.13,"Providing a neat, professional finish, the Talon Snappit 1M chrome pipe cover conceals and protects a range of 15mm pipe installations. Fitting to copper or plastic pipe with minimal effort, Snappit requires no messy adhesive.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Talon Snappit 15mm sleeving kit 1mtr Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/47/NW-511546_511547_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Snappit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,P246190,Danfoss RA gland seal,Danfoss,13.09,This Danfoss RA gland seal is designed for use with RA-URX valves incorporating the RAX sensor.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RA gland seal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/90/NW-246190_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Commercial_TRV_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Danfoss_X_tra_Collection_Valves_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
