,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Amps,Colour,Connection Type,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Position,Pressure,Pump Type,Range,Voltage (V),Warranty,Watts,Phase,Hazardous,Positive / Neutral / Universal,Twin / Single,Material,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Type,Output,Feature 11,Feature 12,Feature 13,Feature 14
42,PD52375,Stuart Turner Monsoon standard twin shower pump 4.0bar,Stuart Turner,707.32,"Designed for vented systems, the 4 bar Stuart Turner Monsoon standard twin pump can boost both hot and cold water supplies to an entire house, an individual bathroom or just the shower. Requiring a flow of just 0.6LPM through the outlet to start the pump, the Monsoon is suitable for positive head applications.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon standard twin shower pump 4.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/75/NW-D52373_D52375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_StdTwinPump_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PC88072,Salamander RP twin positive head centrifugal shower and whole house pump 3.0bar,Salamander,479.14,"Offering quiet efficiency, the 3 bar Salamander RP premium twin ended pump boosts the hot and cold water supply to showers, baths, basins and toilets in a positive head, gravity fed installation. Suitable for a wide range of shower types and heads and single mixer taps, this pump incorporates Crossover technology for individual outlet operation.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander RP twin positive head centrifugal shower and whole house pump 3.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/72/NW-C88072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RP_ShowerPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PD52442,Stuart Turner Monsoon universal single shower pump 2.0bar,Stuart Turner,549.74,"Used in pairs, the 2 bar Stuart Turner Monsoon universal pump boosts hot and cold water supplies in vented systems independently or, used as a single pump, it will boost the water supply as needed. Fully automatic, the Monsoon doesn't need a gravity flow of water to start and is suitable for both positive and negative head applications.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon universal single shower pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/42/NW-D52442_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Uni_SinglePump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Uni_SinglePump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_UniSinglePump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/STurner_Monsoon_UniSinglePump_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PD52373,Stuart Turner Monsoon Standard 2 Bar Twin Shwr Pump,Stuart Turner,358.48,"Designed for vented systems, the 2 bar Stuart Turner Monsoon standard twin pump can boost both hot and cold water supplies to an entire house, an individual bathroom or just the shower. Requiring a flow of just 0.6LPM through the outlet to start the pump, the Monsoon is suitable for positive head applications.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon Standard 2 Bar Twin Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/75/NW-D52373_D52375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_StdTwinPump_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PC88042,Salamander CT75 Xtra twin shower pump 2bar,Salamander,211.99,"The 2 bar Salamander CT75 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT75 Xtra twin shower pump 2bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/42/NW-C88042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTXtra_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salamander_CTXtra_Pump_Swap_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PC88056,Salamander CT Force universal twin bar pump 2.0bar,Salamander,567.75,"A quiet and efficient solution to low water pressure, the 2 bar Salamander CT Force 20 twin ended shower and bathroom pump boosts hot and cold supplied to showers, baths and toilets in a negative head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force meets the demand for increased domestic water supplies.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Force universal twin bar pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/57/NW-C88055_C88057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PC88050,Salamander CT Force positive twin bar shower pump 1.5bar,Salamander,379.58,"Twin-ended, this Salamander CT Force regenerative pump is part of a range of high quality brass-ended shower pumps for positive head or universal use. Ideal for boosting hot and/or cold supplies to thermostatic or manual mixer valves, this range will supply flow rates of up to 32LPM to a variety of shower types, individual taps and toilet cisterns. Whole house boosting can also be achieved.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Force positive twin bar shower pump 1.5bar,,Pump;Flexible hoses;Integral isolating valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/50/NW-C88050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CT_Force_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PD52370,Stuart Turner Monsoon universal twin shower pump 4.5bar,Stuart Turner,960.9,"Suitable for installation in a vented system, the Stuart Turner Monsoon universal twin shower pump boosts hot and cold water supplies equally for safe, powerful showering. Pressurising the water supply up to 51LPM and requiring no gravity flow to start, the peripheral Monsoon pump is ideal for use in loft room en-suite bathrooms, where water outlets are located above the water source. Compatible with negative or positive head applications, the Monsoon can even be used in properties where it can't be determined if a positive flow of water exists.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon universal twin shower pump 4.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/70/NW-D52370_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/ST_Monsoon_Universal_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/ST_Monsoon_Universal_Twin_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ST_Monsoon_Pump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/ST_Monsoon_Universal_Twin_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PD52378,Stuart Turner Monsoon standard single shower pump 4.0bar,Stuart Turner,427.47,"Boosting the water pressure in either the hot or cold supply of a positive head application, the Stuart Turner Monsoon standard single shower pump is suitable for use in vented systems. Needing just 0.6LPM to start, it offers flow rates of up to 40LPM. It is the ideal choice for boosting a blended water outlet between a shower valve and head.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon standard single shower pump 4.0bar,,Pump;Flexible hoses;Integral isolating valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/78/NW-D52378_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/ST_Monsoon_Standard_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/ST_Monsoon_Standard_Single_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ST_Monsoon_Pump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/ST_Monsoon_Standard_Single_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PC88051,Salamander CT Force positive twin bar shower pump 2.0bar,Salamander,411.47,"A quiet and efficient solution to low water pressure, the 2 bar Salamander CT Force 20 twin ended shower and bathroom pump boosts hot and cold supplied to showers, baths and toilets in a positive head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force meets the demand for increased domestic water supplies.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Force positive twin bar shower pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/52/NW-C88050_C88052_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PD52796,MAINSBOOST FLOMATE MBF 12,Stuart Turner,409.53,"Designed for lower occupancy properties, usually with one bathroom, the Mainsboost Flomate MBF 12 pump connects to the incoming mains in order to supply an extra 1.5 bar of pressure and a maximum flow rate of 12LPM. This pump is intended to automatically kick in where a flow rate of 0.6LPM or more exists.",Showering/Shower Pumps/Shower Pumps.csv -> MAINSBOOST FLOMATE MBF 12,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/96/D52796_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/dr/aw/STurner_Mainboost_Flomate_Pump_Draw.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Mainboost_Flomate_Pump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Mainsboost_Flomate_Pump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/STurner_Mainsboost_Flomate_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Mainboost_Flomate_Pmp_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PC88068,Salamander RPU single universal centrifugal shower and whole house pump 2.4bar,Salamander,410.35,"Offering quiet efficiency, the 2.4 bar Salamander RPU single centrifugal shower pump boosts the individual hot and cold water supply to showers, baths, basins and toilets in a negative head, gravity fed installation. Suitable for providing boosted hot water to showers or mixers when cold is taken from the mains water, this adaptable pump is easy to install and incorporates a range of performance enhancing technologies.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander RPU single universal centrifugal shower and whole house pump 2.4bar,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/69/NW-C88067_C88069_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RPU_ShowerPump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PC88061,Salamander CT twin head bathroom pump 2.6bar,Salamander,281.64,"A quiet and efficient solution to low water pressure, the 2.6 bar Salamander CT Force twin impeller bathroom pump boosts hot and cold supplies to showers, baths and toilets in a positive head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force incorporates Crossover technology for individual hot and cold outlet operation.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT twin head bathroom pump 2.6bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/61/NW-C88061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CT_BathroomPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PC88054,Salamander CT Force single impeller regenerative positive head shower pump 3.0bar,Salamander,297.25,"Quiet and efficient, the 3 bar Salamander CT Force 30 single ended pump boosts hot or cold water supplies to a shower or individual taps and outlets in positive head gravity fed installation. Suitable for use in mains fed cold water systems, the CT Force offers more powerful water delivery for faster bath filling and more invigorating showers.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Force single impeller regenerative positive head shower pump 3.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/54/NW-C88053_C88054_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PD12062,Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,Grundfos,407.0,"The innovative, tough Grundfos STR2 regenerative shower pump with positive head and two impellers combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the STR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/62/NW-D12062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PC88052,Salamander CT Force 30PT Force 30 Pt Twin 3 Bar Shwr Pump,Salamander,267.76,"A quiet and efficient solution to low water pressure, the 3 bar Salamander CT Force 30 twin ended shower and bathroom pump boosts hot and cold supplies to showers, baths and toilets in a positive head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force meets the demand for increased domestic water supplies.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Force 30PT Force 30 Pt Twin 3 Bar Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/52/NW-C88050_C88052_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PC88062,Salamander CT universal twin head bathroom pump 1.8bar,Salamander,519.05,"A quiet and efficient solution to low water pressure, the 1.8 bar Salamander CT twin regenerative universal bathroom pump boosts hot and cold supplies to bathrooms, utility rooms and en suites in a positive or negative head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT incorporates Crossover technology for individual hot and cold outlet operation.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT universal twin head bathroom pump 1.8bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/63/NW-C88062_C88063_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CT_BathroomPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PC88059,Salamander CT Force universal single ended bar pump 3.0bar,Salamander,411.46,"Quiet and efficient, the 3 bar Salamander CT Force 30 single ended pump boosts hot or cold water supplies to a shower or individual taps and outlets in negative head gravity fed installation. Suitable for use in mains fed cold water systems, the CT Force offers more powerful water delivery for faster bath filling and more invigorating showers.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Force universal single ended bar pump 3.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/59/NW-C88058_C88059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PD52497,Stuart Turner Monsoon standard twin shower pump 1.5bar,Stuart Turner,556.98,"Designed for vented systems, the 1.5 bar Stuart Turner Monsoon standard twin pump can boost both hot and cold water supplies to an entire house, an individual bathroom or just the shower. Requiring a flow of just 0.6LPM through the outlet to start the pump, the Monsoon is suitable for positive head applications.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon standard twin shower pump 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/97/NW-D52497_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_StdTwinPump_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
