,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Hazardous,Operator Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Connection Type,Range,Feature 3,Feature 4,Colour,Material Type,Warranty,Material,Size,Operating Temperature,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Seat Material,Pack Quantity,Feature 5,Single / Double,Thread Size,Standards,Diameter
60,P503701,Pegler VSH Tectite quarter turn lever ball valve 15mm,Pegler,10.41,"This VSH Tectite TX300 15 x 15mm quarter-turn ball valve is made of brass with push-fit end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Pegler VSH Tectite quarter turn lever ball valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/02/NW-503701_503702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/VSH_Tectite_DVGW_TX300_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_SphericalValves_WRAS_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/VSH_Tectite_TX300_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pegler_Y_Tectite_Brochure.pdf,,,,,,,,
61,PK74480,JET Range 38 swing check valve (BSP) PN20 40mm Bronze,JET Range,282.42,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 40mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 38 swing check valve (BSP) PN20 40mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PK74479,JET Range 38 swing check valve (BSP) PN20 32mm Bronze,JET Range,175.81,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 32mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 38 swing check valve (BSP) PN20 32mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PK74481,JET Range 38 swing check valve (BSP) PN20 50mm Bronze,JET Range,423.33,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 50mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 38 swing check valve (BSP) PN20 50mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PK22943,Crane D220W wras dcpn16 dzr dbl check d220w 1.1/2 in,Crane,1817.5,"Made of DZR brass, this Crane D220W double check valve with 1 1/2"" threaded connection helps to prevent backflow and back siphonage contamination in domestic, public and commercial buildings. Suitable for use with wholesome (potable) water to 85°C, it has a shell pressure rating of PN16 with a maximum inlet/working pressure of 16 bar.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Crane D220W wras dcpn16 dzr dbl check d220w 1.1/2 in",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/45/NW-K22942_K22945_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_Wras_D220W_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_Wras_D220W_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PK74478,JET Range 38 swing check valve (BSP) PN20 25mm Bronze,JET Range,132.03,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 25mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 38 swing check valve (BSP) PN20 25mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PK74209,Rubinetterie 24 spring check valve (BSP) 65mm Brass,Rubinetterie,91.66,"Designed to make sure that liquid or gas flows in just one direction, this 24 PN12 spring single check valve with 65mm BSP female connection recognises flow and velocity, closing automatically to prevent backflow. Suitable for a maximum pressure of 12 bar, this valve has a brass body and FKM seat.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Rubinetterie 24 spring check valve (BSP) 65mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/11/NW-K74202_K74211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,P414072,Center CB copper x copper compression wheel head gate valve 28mm Brass (1),Center CB,7.49,"This Center CB 28mm gate valve offers compression connections and wheelhead operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CB copper x copper compression wheel head gate valve 28mm Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/72/NW-414070_414072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414070_414071_414072_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,P171026,"Masefield Beta equilibrium ball valve (bsp) 3/4"" Gun Metal (5)",Masefield,180.86,"This lever-operated Masefield Beta 3/4"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Masefield Beta equilibrium ball valve (bsp) 3/4"" Gun Metal (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P255683,Midland Brass double check valve (DZR) 22mm (10),Midland Brass,7.3,"Made of DZR brass, this Midland Brass 22mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass double check valve (DZR) 22mm (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/83/255683_wm.jpg,,,22 mm,N,,TBFDCV-22,Check Valve,N,DZR brass construction,22mm size,,,,,,,,,,,,,,,,10,,,,,
70,PK22939,Crane D220W wras dcpn16 dzr dbl check d220w 1/2 in,Crane,152.33,"Made of DZR brass, this Crane D220W double check valve with 1/2"" threaded connection helps to prevent backflow and back siphonage contamination in domestic, public and commercial buildings. Suitable for use with wholesome (potable) water to 85°C, it has a shell pressure rating of PN16 with a maximum inlet/working pressure of 16 bar.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Crane D220W wras dcpn16 dzr dbl check d220w 1/2 in",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/89/581089_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_Wras_D220W_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Crane_Wras_D220W_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PK72689,Keraflo Aylesbury float valve 25mm,Keraflo,826.0,"This Keraflo Aylesbury KB-type fully variable float valve with 25mm connection is designed especially for use in commercial water systems, providing accurate and efficient control over the level of stored cold water in tanks with or without raised float valve chambers. This precision engineered patented float valve is built to last, operating for long periods of time without maintenance.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Keraflo Aylesbury float valve 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/93/NW-K72688_K72693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Spares_Kit_Quick_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Keraflo_Specification_Catalogue.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Keraflo_Aylesbury_KB_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Keraflo_Aylesbury_ValveSales_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Specification_Wording_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Product_Range_Guide.pdf,,,,,,,
72,P170901,Pegler Prestex copper x copper brass ball valve 22mm Blue,Pegler,31.39,"Compact and offering simple operation, this Pegler Yorkshire Prestex PB300T 22mm full bore ball valve is made of chromium-plated brass. T-handle operated, this quarter-turn ball valve with compression connections is ideal for commercial installations where robustness is key.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Pegler Prestex copper x copper brass ball valve 22mm Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/01/NW-170901_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/PeglerYorkshire_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PK11483,Crane D138 check valve (BSP) PN25 15mm Bronze,Crane,158.44,"The Crane D138 PN25 15mm check valve has a 1/2"" BSP tapered female connection. This non-return valve is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Crane D138 check valve (BSP) PN25 15mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/84/NW-K11482_K11484_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_KM-07296_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D138_Check_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_J1483_Check_Valve_Install.pdf,,,,,,,,,,
74,PK84083,Socla EA453 single check valve PN16 DN150,Socla,1480.71,"Certified to NF anti-pollution norms, the Socla PN16 DN150 non-return valve EA 453 is designed for the protection of drinking water against polluted backflow with no recognised toxic or microbiological risk to human health. This single check valve is especially well suited for mounting after a water meter.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Socla EA453 single check valve PN16 DN150",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/83/NW-K84081_K84083_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Socla_EA453_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PK74295,JET Range 41C Type-A plain drain cock 15mm Brass,JET Range,23.75,This JET Range 41C brass type A wrench operated plain drain cock includes a 15mm plain end connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 41C Type-A plain drain cock 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/95/NW-K74295_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_41-41C-41GM-41GMLS_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PK74238,JET Range DZR DZR copper x copper double check valve 50mm,JET Range,102.62,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 50mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range DZR DZR copper x copper double check valve 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PK15188,Crane FM463 double door wafer check valve PN16 150mm Cast Iron,Crane,1199.83,"The Crane FM463 PN16 150mm double door wafer check valve is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Crane FM463 double door wafer check valve PN16 150mm Cast Iron",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/91/NW-K15184_K15191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_FM463_FM466_FA463_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_FM463_FA463_FM466_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,P170913,Pegler Prestex copper x copper brass ball valve 15mm Red,Pegler,23.69,"Compact and offering simple operation, this Pegler Yorkshire Prestex PB300 15mm full bore ball valve is made of chromium-plated brass. Lever-operated, this quarter-turn ball valve with compression connections is ideal for commercial installations where robustness is key.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Pegler Prestex copper x copper brass ball valve 15mm Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/18/NW-170913_170918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/PeglerYorkshire_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,P414395,Pegler Valve swing check valve (BSPT) 32mm Bronze,Pegler,103.46,"The Pegler Valve 1060A 32mm bronze swing check valve includes 1 1/4"" BSP tapered female connections and a bronze body. A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Pegler Valve swing check valve (BSPT) 32mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/97/NW-414394_414397_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Pegler_Connection_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pegler_77258686_Valve_Installation.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pegler_1060A_Technical.pdf,,,,,,,,,,
80,PK74314,JET Range 44 hose union gland cock PN10 20mm Bronze,JET Range,234.05,"This wrench-operated JET Range 44 bronze hose union manual gland cock has a 20mm BSP tapered male end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 44 hose union gland cock PN10 20mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/15/NW-K74313_K74315_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET44_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PK74395,JET Range JET 11 42mm CxC BS 1010 Stopcock,JET Range,348.05,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 42mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range JET 11 42mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/95/K74395_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74394_K74396_Technical Data Sheet.pdf,,,,,,,,,,
82,PK74394,JET Range JET 11 35mm CxC BS 1010 Stopcock,JET Range,281.55,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 35mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range JET 11 35mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/94/K74394_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74394_K74396_Technical Data Sheet.pdf,,,,,,,,,,
83,PK74237,JET Range DZR DZR copper x copper double check valve 40mm,JET Range,79.31,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 40mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range DZR DZR copper x copper double check valve 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PK74313,JET Range 44 hose union gland cock PN10 15mm Bronze,JET Range,142.74,"This wrench-operated JET Range 44 bronze hose union manual gland cock has a 15mm BSP tapered male end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 44 hose union gland cock PN10 15mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/15/NW-K74313_K74315_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET44_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
