,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Capacity Litre,Feature 9,Feature 10,Feature 11,Pack Quantity,Attachment 6,Refrigerant Suitability,Feature 12
60,P119662,Vaillant aroTHERM plus VWL 55 / 6 air source heat pump 5kW,Vaillant,3482.45,"An outdoor solution with monobloc technology, the Vaillant aroTHERM Plus 5kW air-to-water heat pump offers excellent performance combined with a high level of energy efficiency. Employing natural refrigerant R290, the aroTHERM Plus has an extremely low Global Warming Potential (GWP) of 3. It also operates very quietly, with a 54dB(A) sound level, making it suitable for flexible installation in even the most densely populated housing estates.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant aroTHERM plus VWL 55 / 6 air source heat pump 5kW,,Air-to-water heat pumpDirt filterSafety valveExpansion vesselFilling loop and pressure gaugeValvesHydraulic and wiring connectionsHeating systemWarranty card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/62/NW-119661_119662_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTHERM_plus_VWL_Install.pdf,,,,,,,,,,
61,P613554,Diversitech SpeediChannel 230-DE3 duct end 70 mm,Diversitech,4.37,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DE3 70mm duct end terminates the run of a channel, converting it to a smaller opening large enough to allow the lineset and condensate drain line to pass through.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-DE3 duct end 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/54/613554_wm.jpg,SpeediChannel,,,,N,,,,,,230-DE3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,,,,,,
62,P613595,Diversitech SpeediChannel 230-WR3W wall rosette 70 mm White,Diversitech,2.76,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WR3W 70mm wall rosette or escutcheon covers an unsightly opening in a wall or ceiling. With a centred hole to allow for a freestanding channel to pass through, this two-part rosette is designed to simply snap into place on the channel.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-WR3W wall rosette 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/95/613595_wm.jpg,SpeediChannel,,,,N,,,,,,230-WR3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,White colour,,,,,,,,,,,,,,,,,
63,P635926,Grant Aerona HPID6R32 R32 remote control kit,Grant,254.76,"An alternative controller for Aerona³ heat pumps, the Grant Aerona HPID6R32 R32 remote control kit is a compact wall-mounted unit offering an intuitive interface via which core ASHP parameters can be set, viewed and adjusted. Allowing both the homeowner and the heating engineer to access operating functions, this kit is compatible with a separate Grant brand timer used for hot water settings while a programmer or room thermostat is put in control of heating settings.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Grant Aerona HPID6R32 R32 remote control kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/26/635926_wm.jpg,Aerona,N/A,1 year minimum (Subject to T&C's),34 kg,N,,,225,N/A,,HPIDR32CON6,ASHP Remote Control,N,White casing to suit most homes,Wall-mounted installation,Allows engineer to view and set functions remotely,"1 year warranty minimum, subject to T&Cs",,,,,,,,,,,,,,,,,
64,P635952,Grant Aerona inverter driver air source heat pump - R32 13kW,Grant,3782.04,"Compatible with eco-friendly R32 refrigerant, the Grant Aerona³ 13kW inverter driver air source heat pump is highly efficient for cleaner running and improved convenience. Compact in design, this pump runs extremely quietly, making it a great choice for home systems. A reliable unit, Aerona³ has a simplified design for ease of installation and maintenance and hassle-free operation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Grant Aerona inverter driver air source heat pump - R32 13kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/52/635952_wm.jpg,Aerona,230,"2 Years minimum, subject to T&C's",70 kg,N,64 dB(A),10 kW,405,Floor or Wall,DC twin rotary - inverter driven,HPID13R32BODY,R32 Air Source Heat Pump,N,Inverter driven,Excellent SCOPs across range,Compact footprint for minimal impact on surroundings,2 year warranty subject to T&Cs,,,,,,,,,,,,,,,,,
65,P613544,Diversitech SpeediChannel 230-CP4 connection piece 105 mm,Diversitech,3.83,"Used to join two pieces of channel of the same size, this DiversiTech SpeediChannel 230-CP4 105mm union coupling is individually packed complete with screws for easy fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-CP4 connection piece 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/44/613544_wm.jpg,SpeediChannel,,,,N,,,,,,230-CP4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,,,,,,
66,P444905,Bosch storage heat pump cylinder 210ltr Green,Bosch,1184.37,"Designed for use with Compress heat pumps, the Bosch Green 210L storage heat pump cylinder provides fast reheat times and high levels of heat retention for on-demand hot water, no waiting. Tested along with the Compress 7000 range, this efficient cylinder is a tried and tested choice for reliable hot water.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Bosch storage heat pump cylinder 210ltr Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/05/444905_wm.jpg,,,5 years comoponents/25 years on the basic vessel,60 kg,N,,,,,,7733601334,Cylinder,N,Compatible with Compress 7000 and 7400 series heat pumps,ErP Class C efficiency,Good reheat and heat retention,Green shell,"25 year warranty on vessel, 5 years on components",,,,,,,,,210 l,,,,,,,
67,P610190,Mitsubishi Ecodan PUZ coastal monobloc unit 6kw,Mitsubishi,2580.01,"An advanced and highly efficient step into renewables, the Mitsubishi Ecodan PUZ Coastal 5kW monobloc air-to-water heat pump harnesses sustainable technology for eco-friendly heating you can rely on. This unit is suitable for use alongside a third party cylinder for DHW or can be used alone for heating only.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Mitsubishi Ecodan PUZ coastal monobloc unit 6kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/90/610189_610190_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,,,
68,P635951,Grant Aerona inverter driver air source heat pump - R32 10kW,Grant,3270.89,"Compatible with eco-friendly R32 refrigerant, the Grant Aerona³ 10kW inverter driver air source heat pump is highly efficient for cleaner running and improved convenience. Compact in design, this pump runs extremely quietly, making it a great choice for home systems. A reliable unit, Aerona³ has a simplified design for ease of installation and maintenance and hassle-free operation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Grant Aerona inverter driver air source heat pump - R32 10kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/51/635951_wm.jpg,Aerona,230,"2 Years minimum, subject to T&C's",9.9kg,N,60.8 dB(A),13 kW,403,Floor,DC twin rotary - inverter driven,HPID10R32BODY,R32 Air Source Heat Pump,N,Inverter driven,Excellent SCOPs across range,Compact footprint for minimal impact on surroundings,2 year warranty subject to T&Cs,,,,,,,,,,,,,,,,,
69,P613548,Diversitech SpeediChannel 230-D4A duct 2 M 105 mm,Diversitech,20.88,"Measuring 6 1/2ft in length, this DiversiTech SpeediChannel 230-D4A 105mm lineset cover channel is supplied with a pack of SpeediClips for ease of fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-D4A duct 2 M 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/48/613548_wm.jpg,SpeediChannel,,,,N,,,,,,230-D4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,SpeediClip slides into place on railing moulding into interior of Speedichannel,Suitable for one person installation,,,,,,,,,,,,,,,,
70,P610189,Mitsubishi Ecodan PUZ monobloc unit 6kw,Mitsubishi,2459.9,"Suitable for matching with pre-plumbed cylinders, if desired, the advanced and reliable Mitsubishi Ecodan PUZ 6kW monobloc unit helps engineers to create an efficient alternative to traditional carbon-based heating systems.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Mitsubishi Ecodan PUZ monobloc unit 6kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/90/610189_610190_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,,,
71,P613566,Diversitech SpeediChannel 230-FB3 flat bend 90 degree 70 mm,Diversitech,5.22,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FB3 70mm 90° flat bend routes a lineset around an obstacle where required. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-FB3 flat bend 90 degree 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/66/613566_wm.jpg,SpeediChannel,,,,N,,,,,,230-FB3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,,,,,,
72,P613546,Diversitech SpeediChannel 230-D3A duct 2 M 70 mm,Diversitech,16.66,"Measuring 6 1/2ft in length, this DiversiTech SpeediChannel 230-D3A 70mm lineset cover channel is supplied with a pack of SpeediClips for ease of fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-D3A duct 2 M 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/46/613546_wm.jpg,SpeediChannel,,,,N,,,,,,230-D3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,SpeediClip slides into place on railing moulding into interior of Speedichannel,Suitable for one person installation,,,,,,,,,,,,,,,,
73,P613559,Diversitech SpeediChannel 230-EB3W inside elbow 90 degree 70 mm White,Diversitech,4.66,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-EB3W 70mm inside elbow routes a lineset around an inside corner. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-EB3W inside elbow 90 degree 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/59/613559_wm.jpg,SpeediChannel,,,,N,,,,,,230-EB3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,,,,,,
74,P119669,VAIL AROTHERM PLUS 10KW + UNITOWER,Vaillant,7563.3,"Eco-friendly and efficient, the Vaillant aroTHERM Plus 10kW air-to-water heat pump employs R290 refrigerant, contributing to an extremely low GWP and a SCOP of up to 4.88. This pump operates extremely quietly, making it a great choice for built-up areas and terraced housing, while a salt-resistant construction ensures reliable protection in seaside residences. The monobloc aroTHERM Plus is supplied with Vaillant's ready-wired, easy to install 190L uniTOWER integrated hot water cylinder and hydraulic module for the highest possible ErP efficiency of A+++.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> VAIL AROTHERM PLUS 10KW + UNITOWER,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6-/70/119666-70_wm.jpg,aroTHERM plus,230,5,194,N,30,10 kW,449,Outdoors,Rotary,0010037204,Air Source Heat Pump,N,"Energy saving design, with a SCOP up to 4.88",Suitable for retro-fit and new build,"Ideal for underfloor heating, radiators and fan coils","Sound power as low as 54 dB(A), suitable for terraced housing estates",Low Global Warming potential (GWP) of 3,Monobloc technology with hermetically-sealed refrigerant circuit,Uses natural refrigerant R290,Salt-resistant construction C5 class for installation under 150M from the sea,,,,,,,Supplies up to 25% more usable hot water at a 75°C flow temperature,Maximum temperature setting eliminates need for an electric immersion heater for Legionella protection,5 year warranty,,,,
75,P613542,Diversitech SpeediChannel 230-CP3 connection piece 70 mm,Diversitech,1.92,"Used to join two pieces of channel of the same size, this DiversiTech SpeediChannel 230-CP3 70mm union coupling is individually packed complete with screws for easy fitting.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Diversitech SpeediChannel 230-CP3 connection piece 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/42/613542_wm.jpg,SpeediChannel,,,,N,,,,,,230-CP3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,,,,,,
76,P635950,Grant Aerona inverter driver air source heat pump - R32 6kW,Grant,2132.27,"Compatible with eco-friendly R32 refrigerant, the Grant Aerona³ 6kW inverter driver air source heat pump is highly efficient for cleaner running and improved convenience. Compact in design, this pump runs extremely quietly, making it a great choice for home systems. A reliable unit, Aerona³ has a simplified design for ease of installation and maintenance and hassle-free operation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Grant Aerona inverter driver air source heat pump - R32 6kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/50/635950_wm.jpg,Aerona,230,"2 Years minimum, subject to T&C's",.51 Kg,N,65.2 dB(A),6 kW,379.4,Floor or Wall,DC twin rotary - inverter driven,HPID6R32BODY,R32 Air Source Heat Pump,N,Inverter driven,Excellent SCOPs across range,Compact footprint for minimal impact on surroundings,2 year warranty subject to T&Cs,,,,,,,,,,,,,,,,,
77,P612210,Pump House heat pump flexible hose 28mm x 1mtr (Pair),Pump House,117.49,"Helping to meet necessary installation requirements, the Pump House 28mm x 1M heat pump flexible hose allows for the connection of flow and return pipework to a heat pump or biomass boiler. Smoothly bending without kinks, the flexibility of this hose reduces vibration and, thanks to its stainless steel braided covering, it is well protected as well as insulated by 19mm thick insulation and further protected from damage with an external grade PVC coating.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Pump House heat pump flexible hose 28mm x 1mtr (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/10/612210_wm.jpg,,,,2.75Kg,N,,,1190,,,FH-1000-28-F,,N,1M length,Stainless steel braided design,Pre-insulated with 19mm PVC coating,Compression fitting,Additional 80mm of insulation covers connectors,Meets the requirements of MCS MIS 3005,,,,,,,,,,,,Pair,,,
78,P119664,Vaillant aroTHERM plus VWL 105 / 6 air source heat pump 10kW,Vaillant,5323.55,"An outdoor solution with monobloc technology, the Vaillant aroTHERM Plus 10kW air-to-water heat pump offers excellent performance combined with a high level of energy efficiency. Employing natural refrigerant R290, the aroTHERM Plus has an extremely low Global Warming Potential (GWP) of 3. It also operates very quietly, with a 54dB(A) sound level, making it suitable for flexible installation in even the most densely populated housing estates.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant aroTHERM plus VWL 105 / 6 air source heat pump 10kW,,Air-to-water heat pumpDirt filterSafety valveExpansion vesselFilling loop and pressure gaugeValvesHydraulic and wiring connectionsHeating systemWarranty card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/64/NW-119664_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTHERM_plus_VWL_Install.pdf,,,,,,,,,,
79,P117995,Vaillant 0020222285 heat schanger module,Vaillant,646.0,"The compact Vaillant aroTHERM heat exchanger module separates the heat pump glycol circuit from the heating system circuit. Using this module means there's no need to fill an entire system with frost protection, reducing cost and preventing contamination of glycol circuits if radiators need to be removed or drained and re-filled. Easy to install, the module includes integral glycol circuit fill and flush points.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant 0020222285 heat schanger module,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/95/117995_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTherm_Val0040_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_aroTHERM_AWHP_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_AW_HP_Technical.pdf,,,,,,,,,,
80,P613803,Mitsubishi Ecodan PUZ coastal monobloc unit 11.2kw,Mitsubishi,3564.36,"Supplying a reliable 11kW output, the Mitsubishi Ecodan PUZ Coastal monobloc air source heat pump is a highly efficient renewable heating system suitable for a range of potential uses.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Mitsubishi Ecodan PUZ coastal monobloc unit 11.2kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/03/NW-613803_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,,,
81,P119663,Vaillant aroTHERM plus VWL 75 / 6 air source heat pump 7kW,Vaillant,3913.4,"An outdoor solution with monobloc technology, the Vaillant aroTHERM Plus 7kW air-to-water heat pump offers excellent performance combined with a high level of energy efficiency. Employing natural refrigerant R290, the aroTHERM Plus has an extremely low Global Warming Potential (GWP) of 3. It also operates very quietly, with a 54dB(A) sound level, making it suitable for flexible installation in even the most densely populated housing estates.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant aroTHERM plus VWL 75 / 6 air source heat pump 7kW,,Air-to-water heat pumpDirt filterSafety valveExpansion vesselFilling loop and pressure gaugeValvesHydraulic and wiring connectionsHeating systemWarranty card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/63/NW-119663_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_aroTHERM_plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_aroTHERM_plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroTHERM_plus_VWL_Install.pdf,,,,,,,,,,
82,P444907,Bosch storage heat pump cylinder 300ltr Green,Bosch,1320.17,"Designed for use with Compress heat pumps, the Bosch Green 300L storage heat pump cylinder provides fast reheat times and high levels of heat retention for on-demand hot water, no waiting. Tested along with the Compress 7000 range, this efficient cylinder is a tried and tested choice for reliable hot water.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Bosch storage heat pump cylinder 300ltr Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/07/444907_wm.jpg,,,5 years comoponents/25 years on the basic vessel,70 kg,N,,,,,,7733601336,Cylinder,N,Compatible with Compress 7000 and 7400 series heat pumps,ErP Class C efficiency,Good reheat and heat retention,Green shell,"25 year warranty on vessel, 5 years on components",,,,,,,,,300 l,,,,,,,
83,P605851,Mitsubishi Ecodan PUZ monobloc ASHP unit 5kW,Mitsubishi,1907.18,"A highly flexible solution, the Mitsubishi Ecodan PUZ 5kW air source heat pump unit is suitable for installation in any property type, from smaller dwellings to large size commercial spaces. An efficient alternative to traditionally high carbon heating systems, this ASHP makes use of reliable renewable technology for sustainable space heating and hot water with no need for flues, gas or ventilation.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Mitsubishi Ecodan PUZ monobloc ASHP unit 5kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/51/605851_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Mitsi_Heating_Catalogue_2021.pdf,,,,,,,,,,,,
84,P143371,Samsung AE080RXYDEG/EU 1 phase mono air source heat pump 8 - 6.37kW R32,Samsung,1845.22,"Extremely energy efficient, the Samsung AE080RXYDEG/EU single phase mono air source heat pump uses the heat from the air to supply both heating and hot water. Transferring ambient air into a property via a hydronic system like underfloor heating, this heat pump helps to improve efficiency, requiring less power input than a conventional boiler while also offering a higher output. Bolted to anti-vibration feet, the AE080RXYDEG/EU operates quietly to minimise disruption.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Samsung AE080RXYDEG/EU 1 phase mono air source heat pump 8 - 6.37kW R32,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/72/143370_143372_wm.jpg,,220 - 240,7 Year,76 kg,N,48 dB(A),8 kW,330,Bolted to Anti-Vibrate Feet,BLDC Twin Rotary,HHSM-G600008-1,Air to Air Heat Pump,N,"SCOP of 4.85, best on the MCS database",Offers 65°C hot water,45dB(A) sound level for disruption-free operation,Offers outputs of 5kW,Low GWP for more efficient use,Compatible with R32 refrigerant,With anti-vibration feet,7 year warranty,,,,,,,,,,,,,
85,P119665,Vaillant aroTHERM plus 12kW & Appliance Interface 0010037215 air source heat pump 12kW,Vaillant,5606.6,"Designed for cost-effective performance, the Vaillant aroTHERM Plus heat pump is equally suitable for radiators as for underfloor heating. Offering flow temperatures of up to 75°C, this 12kW output pump does away with the need for direct electric immersion, protects from legionella and, thanks to its low running noise, it's suitable for installation in built-up terraced housing estates. Extremely energy efficient, the aroTHERM Plus is suitable for installation alongside photovoltaic systems or integrated into smart power grids for the increased savings that come with variable electricity tariffs.",Renewables/Air Source Heat Pumps (ASHP)/Air Source Heat Pumps (ASHP).csv -> Vaillant aroTHERM plus 12kW & Appliance Interface 0010037215 air source heat pump 12kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/65/119665_wm.jpg,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/aroTHERM_Plus_AW 1.1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Vaillant_aroThermPlus_Heat-P_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ch/em/Vaillant_aroThermPlus_Heat-P_Schem.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_aroThermPlus_Heat-P_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_aroThermPlus_Heat-Pump_Tech.pdf,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Vaillant_aroTHERM_Plus_Manual.pdf,,
