,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Pack Quantity,Attachment 6,Attachment 7,Feature 9,Feature 10,Colour,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Seasonal Space Heating Energy Efficiency %,Feature 18,Feature 19,Max Vertical Level Flue Length (metres),Attachment 8,Attachment 9,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class
158,P333621,Ideal Vogue Combi GEN2 C40 boiler only,Ideal,1399.0,"Lightweight and easy to install, the single piece Ideal Vogue GEN2 C35 boiler makes siting, servicing and maintenance simple. Day-to-day use and recognising issues is simple thanks to a backlit colour LCD display featuring advanced diagnostic information and user-friendly multi-button controls while getting in there and getting the job done is hassle-free with the latest in cool burner door technology for immediate access even when the Vogue's still hot. This 35kW boiler offers an ErP A rating, a must for modern homes, helping to make savings on fuel bills and reduce waste.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Vogue Combi GEN2 C40 boiler only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ge/n2/Vogue_Gen2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue__Gen2_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Vogue_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Vogue_Gen2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Vogue_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,P333501,Ideal Heating I-Mini 229983 I-mini 2 C35,Ideal Heating,692.0,"A Wolseley exclusive, the Ideal i-mini2 C35 combi boiler offers ease of installation and servicing with its flexible flueing options, lighter weight and compact size. A reduced component count means that there's less that can go wrong too, reducing the likelihood of breakdown and call out charges. Easy to use, this 35kW combi delivers fast hot water and has an ErP A rating for its excellent levels of efficiency.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Heating I-Mini 229983 I-mini 2 C35,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/49/125249_wm.jpg,,,,,,145,Natural Gas,I-Mini,5 Years,32.9 kg,A,N,A,35 kW,310,,89.6,Wall Mounted,333501 PK,Combi Boiler,N,With easy-read pressure gauge,Low lift weight for effortless installation,Low component count aids reliability,High SEDBUK efficiency,DHW pre-heat for quicker delivery,Compact cupboard fit for convenient installation,5 year warranty,,,,,,,,,,,,,,,,,,,,,,
160,P333956,Worcester Bosch Greenstar 8000 Style GR8700iW 50 CB NG combi boiler pack 50kW Black,Worcester Bosch,2380.0,"The Worcester Bosch Greenstar 8000 Style GR8700iW 50 CB NG combi boiler combines fast, easy installation, servicing and commissioning with intuitive controls and quiet operation all wrapped up in a sleek, contemporary package designed for the most modern home. The Worcester Bosch design team harnessed years of installer and customer feedback in designing the 8000 Style, resulting in a host of clever features including a full colour touchscreen display for hassle-free control and at-a-glance fault diagnostics. Compatible with the Greenstar Intelligent Filling System for optimised boiler pressure, this 50kW combi has an ErP A rating for lower fuel bills and low emissions.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 50 CB NG combi boiler pack 50kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/la/ck/WB_G_Style_Black_wm.jpg,,,,,,18 L/min @ 40°C,Natural Gas,Greenstar 8000 Style,8 years,49kg,A,N,A,,365,333956,94,Wall Hung,333956 PK,Condensing Combi Boiler,N,"Combustion chamber for quieter operation than its predecessor, the Greenstar CDi Classic","Compatible with Greenstar Intelligent Filling System, employing the latest innovative software maintains optimum boiler pressure",Design-led product aesthetics for contemporary homes,Improved installation and servicing,Innovative all-colour text touchscreen boiler control with intuitive menu,"Display offers at-a-glance diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Easy commissioning with information for the Benchmark Checklist at your fingertips,Simple switch from CDi classic with same fixing points and connections,,,,8 year guarantee,,,,,,,,,,,,,,,,,
161,P147021,Viessmann Vitodens 100-W 26 100-w combi b1kf 26kw,Viessmann,1536.15,"A popular choice for installation in smaller and well-insulated homes, the Viessmann Vitodens 100-W 26 combi boiler offers an ErP A rating for efficiency. This reliable 26kW gas condensing wall-mounted boiler incorporates innovative technology and services and is built ready for the addition of smart technology, giving homeowners added controllability and cost savings.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Viessmann Vitodens 100-W 26 100-w combi b1kf 26kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/24/NW-147021_147024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Viessmann_Vitodens_100W_EUConformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Viessmann_Vitodens_100_W_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ct/Viessmann_Vtdns100W111WF141F_Instrct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/kl/st/Viessmann_Vtdns100W_B1HFB1KF_Chcklst.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Viessmann_Vitodens_100_W_111_W_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/y_/ds/Viessmann_Vitodens_100_W_Energy_DS.pdf,,,,,,,,,,,,,,,,,,,
162,P130188,Glow-worm Energy7 35C boiler 35c,Glow-worm,1950.87,"Compact and quiet, the wall-mounted Glow-worm Energy7 35C combi boiler pack is small enough to fit into a kitchen cupboard and features top and rear flue options for convenient installation in any location. Fitted with high quality parts, including a robust aluminium heat exchanger, this 35kW boiler promises longevity and efficiency, earning it an ErP A rating, while compatibility with a wide variety of controls ensures easy usability.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Glow-worm Energy7 35C boiler 35c,,Combi boilerHeat generatorUnit mounting bracketFlexible condensate discharge pipe6x 3/4 seals4x 1/2 sealsService valveGas stopcockFilling device2x connection pipe (heating flow and return)Cold water connection pipeDomestic hot water connection pipeGas,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/88/NW-130186_130188_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Glow_worm_Energy_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_The_Energy_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Glow_worm_Energy7_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Energy7_Operating_Instrcts.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Glow_worm_Independent_Merchant_Brcr.pdf,,,,,,,,,,,,,,,,,,,
163,P116012,Vaillant ecoFIT pure 835 combi boiler,Vaillant,2097.01,"The Vaillant ecoFIT pure 835 combi boiler is one of a range dubbed Vaillant's 'go anywhere' range. An ultra-compact, ultra-flexible unit with the option to top or rear flue site plus cupboard-fit capability so it really can be installed in any part of the house, whether inside a cabinet or on the wall. An easy to read LED diagnostic display and reliable Vaillant parts, coupled with robust, intelligent German engineering, make the 35kW output ecoFIT simple to operate and install, hassle-free to maintain and ensures an ErP A rating.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Vaillant ecoFIT pure 835 combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/12/116010_116012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_ecoFIT_pure_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoFIT_pure_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_ecoFIT_pure_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,P114285,Baxi 636 7796588 combi boiler 2 natural gas,Baxi,1247.06,"Lightweight and compact, the Baxi 636 Combi 2 boiler offers easy installation and reliable operation thanks to its robustly built brass hydraulic block, pre-heated condensate trap and stainless steel heat exchanger. Suitable for use with natural gas or LPG, this 36kW boiler is highly efficient, earning it an ErP A rating for both heating and hot water.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Baxi 636 7796588 combi boiler 2 natural gas,,"BoilerLiterature pack (installation, Flue Guide, User Manual, Warranty Information, Hanging template)Mounting bracketCopper tailsIsolation valve setEasy-Fill linkCondensate rubber adapter.",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/85/114285_wm.jpg,,,,,,15.0 lpm,Natural Gas / LPG,636,7 Years Parts and Labour,32.3 kg,A,N,A,36 kW,285,,94,hanging bracket,7796588,Boiler - Combi,N,Lightweight design for ease of fitting,Compact cupboard fit,With stainless steel heat exchanger,Tough brass hydraulic block,With Easy-Fill permanent filling link,Pre-heated siphonic condensate trap reduces risk of freezing,Combined PrV with seperate drain for easy maintenance,Removeable easy-access wiring blocks,,,,Certified Opentherm,Compatible with natural gas or LPG,,ErP A rating,7 year parts and labour warranty,,,,,,,,,,,,,
165,P114632,WORCS GSTAR 8000 STYLE 50KW COMBI BLK NG,Worcester Bosch,2618.0,"The Worcester Bosch Greenstar 8000 Style GR8700iW 50 CB NG combi boiler combines fast, easy installation, servicing and commissioning with intuitive controls and quiet operation all wrapped up in a sleek, contemporary package designed for the most modern home. The Worcester Bosch design team harnessed years of installer and customer feedback in designing the 8000 Style, resulting in a host of clever features including a full colour touchscreen display for hassle-free control and at-a-glance fault diagnostics. Compatible with the Greenstar Intelligent Filling System for optimised boiler pressure, this 50kW combi has an ErP A rating for lower fuel bills and low emissions.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> WORCS GSTAR 8000 STYLE 50KW COMBI BLK NG,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/36/114632_114636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_8000_Style_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_8000_Style_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114632_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/W_B_Greenstar_8000_LifeStyle_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,P112916,Worcester Bosch Greenstar CDi Compact 32CDi NG compact ErP combi boiler,Worcester Bosch,1249.97,"Compact and efficient, the Worcester Bosch Greenstar 32CDi Compact condensing boiler is designed to fit into a kitchen or utility cupboard, minimising wasted space even in the most crowded family home. Producing hot water on demand for houses of up to three beds and two bathrooms, this condensing boiler has a clear operational and diagnostic display plus intelligent controls, eco mode, pre-heating option and an innovative WB7 heat exchanger for simple, affordable day-to-day operation and maintenance. Easy to install with the use of a lift weight optimised split jig design, the low consumption Greenstar has an energy efficient ErP A rating, which can be upped to A+ when connected to the Bosch EasyControl smart thermostat.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar CDi Compact 32CDi NG compact ErP combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/19/112914_112919_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/W_B_Greenstar_32CDi_Compact_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Bosch_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_CDi_Compact_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_CDi_Compact_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/W_B_Greenstar_32CDi_Compact_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,P333958,Worcester Bosch Greenstar 8000 Style GR8700iW 40 CB NG combi boiler only pack 40kW Black,Worcester Bosch,1736.0,"Designed with feedback from installers and homeowners in mind, the Worcester Bosch Greenstar 8000 Style GR8700iW 40 CB NG combi boiler offers faster, easier installation, servicing and maintenance, more intuitive controls and even quieter operation compared to the 8000 Life. Ideal for a modern home, this 40kW combi has an attractively designed exterior and incorporates a simple to follow colour touchscreen display to improve controls and make fault diagnostics and commissioning fast and accurate too. Compatible with the Greenstar Intelligent Filling System for optimum boiler pressure, the 8000 Style boasts an ErP A rating for reduced fuel bills.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 40 CB NG combi boiler only pack 40kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/la/ck/WB_G_Style_Black_wm.jpg,,,,,,14 L/min @ 40°C,Natural Gas,Greenstar 8000 Style,8 years,47 kg,A,N,A,,365,333958,94,Wall Hung,333958 PK,Condensing Combi Boiler,N,"Combustion chamber for quieter operation than its predecessor, the Greenstar CDi Classic","Compatible with Greenstar Intelligent Filling System, employing the latest innovative software maintains optimum boiler pressure",Design-led product aesthetics for contemporary homes,Improved installation and servicing,Innovative all-colour text touchscreen boiler control with intuitive menu,"Display offers at-a-glance diagnosis, fault-finding and commissioning, with no need to search through manuals and fault codes",Easy commissioning with information for the Benchmark Checklist at your fingertips,Simple switch from CDi classic with same fixing points and connections,,,,8 year guarantee,,,,,,,,,,,,,,,,,
168,P114635,Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB NG combi boiler 35kW Black,Worcester Bosch,1684.0,"The Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB NG combi boiler offers faster, easy installation, servicing and commissioning, simple to use controls, quiet operation and contemporary design-led looks well-suited to modern decor. The team at Worcester Bosch has harnessed years of installer and customer feedback in designing the 8000 Style's full colour touchscreen display, making using the 35kW boiler effortless, giving you high levels of comfort and efficiency at the touch of a button. Compatible with the innovative Greenstar Intelligent Filling System for optimised boiler pressure, the 8000 Style has an ErP A rating for lower fuel bills and low emissions.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar 8000 Style GR8700iW 35 CB NG combi boiler 35kW Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/36/114632_114636_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/114635_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_8000_Style_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114635_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_8000_Style_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/W_B_Greenstar_8000_LifeStyle_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,P333619,Ideal Vogue Combi GEN2 C26 boiler only,Ideal,1118.0,"Suitable for a wide range of installations, the lightweight, single piece Ideal Vogue Combi GEN2 C26 boiler is straightforward to fit and simple to service. Featuring the latest in boiler diagnostics the 26kW Vogue combi provides effortless fault recognition while the latest in cool burner door technology means repair and service can take place even while the boiler is still hot. System preferences and set-up are completed in moments via the user-friendly full colour LCD display and day-to-day operation is simplified with multi-function buttons. As with any modern boiler, energy efficiency is a priority and the Vogue offers an impressive fuel bill-friendly ErP A rating.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Vogue Combi GEN2 C26 boiler only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ge/n2/Vogue_Gen2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue__Gen2_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Vogue_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Vogue_Gen2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Vogue_Warranty.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,P101340,Intergas ECO RF 24 compact combi boiler,Intergas,1618.93,"The Intergas ECO RF 24 Combi Compact boiler is designed to heat small homes with up to three bedrooms using Intergas's tried and tested Combi Compact technology. Smaller than average, with a height of just 590mm, this 24kW combi boiler helps maximise kitchen or utility space, hiding away in a cupboard with ease, a must in family homes where space is tight. With its high efficiency 2-in-1 heat exchanger, effective pump and clever self-learning eco mode, the ECO RF 24 effectively heats the home while maintaining an ErP A rating, reducing energy waste and fuel bill costs. It's also simple to install, use and maintain, welcome news for both customer and technician alike.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Intergas ECO RF 24 compact combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/42/101340_101342_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Intergas_Combi_ECO_RF_Spare_Parts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_ECO_RF_Operating_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Intergas_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intergas_Combi_ECO_RF_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_Boilers_Terms_&_Conditions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intergas_ECO_RF_Installation.pdf,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/_1/Intergas_Combi_ECO_RF_Technical_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/101340_ErP.pdf,,
171,P115079,HRM Wallstar Combi 24/18 combi boiler low nox 24/18kW,HRM,2925.34,"The only through-the-wall oil-fired combi on the market, the open-vented HRM Wallstar 24/18 boiler gives you a space-saving solution to complete heating and hot water service in smaller properties. Conforming to low NOx legislation and with an ErP A rating for heating, B for hot water, this boiler provides good levels of efficiency along with its 18kW heating output and 24kW hot water output. A like-for-like replacement for existing Wallstar models, the 24/18 can be installed without any additional major work.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> HRM Wallstar Combi 24/18 combi boiler low nox 24/18kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/79/115079_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/115079_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/115079_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/115079_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,P333692,Intergas HRE 28/24 combi boiler,Intergas,966.0,The Intergas HRE 28/24 compact combi boiler supplies heating and hot water on demand while taking up minimal space and reducing maintenance requirements and waste. This compact 24kW combi contains fewer internal components than your average boiler meaning that there's less risk of breakdown while the inbuilt double high efficiency heat exchanger and self-learning eco mode help to lower waste and bills through an ErP A rating.,Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Intergas HRE 28/24 combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/36/102436_wm.jpg,,,,,,"12.5 L/min @ 40°C, 7.5 L/min @ 60°C",Natural Gas,HRE,7 Years,33 kg,A,N,A,28 kW,240,"333692, 333723",93,Wall Hung,333692 PK,Compact Combi Boiler,N,Easy to service,Less parts means less to maintain,No diverter valve or valve motor,No auto air vent,Double high efficiency heat exchanger,Self-learning eco-mode,Two fixing options,Extended warranty available when following Intergas installation specification and guidelines,,,,10 year warranty on heat exchanger,,Black/Gloss,,,,,,,,A,,,,,,,
